	Species	Genes	Brucella abortus 2308	Brucella canis ATCC 23365	Brucella ceti TE10759-12	Brucella microti CCM 4915	Brucella suis 1330	mean ZH-Score
1854	5	5	WP_002967231.1	WP_004690350.1	WP_004690350.1	WP_004682276.1	WP_004690350.1	6219.952899999999
235	5	5	WP_002964293.1	WP_004690898.1	WP_002964293.1	WP_015799642.1	WP_002964293.1	6219.852833333333
2501	5	5	WP_002966822.1	WP_004690831.1	WP_006174191.1	WP_015799614.1	WP_006190204.1	6193.29975
114	5	5	WP_002963853.1	WP_002963853.1	WP_002963853.1	WP_002963853.1	WP_002963853.1	6192.976046153847
2761	5	5	WP_002972091.1	WP_006133362.1	WP_006016206.1	WP_041594788.1	WP_006192045.1	6173.753745161291
1372	5	5	WP_002965982.1	WP_004686048.1	WP_006175445.1	WP_004686048.1	WP_004686048.1	6171.49737
2064	5	5	WP_002966891.1	WP_004690983.1	WP_002966891.1	WP_002966891.1	WP_004690983.1	6166.7212500000005
1646	5	5	WP_002967252.1	WP_004689078.1	WP_004689078.1	WP_015799921.1	WP_004689078.1	6161.931111111111
573	5	5	WP_002965417.1	WP_002965417.1	WP_006173668.1	WP_002965417.1	WP_002965417.1	6144.103236842106
572	5	5	WP_002965415.1	WP_002965415.1	WP_002965415.1	WP_002965415.1	WP_002965415.1	6144.103236842106
1249	5	5	WP_002963779.1	WP_004683355.1	WP_004683355.1	WP_004683355.1	WP_004683355.1	6125.52625
1319	5	5	WP_002965061.1	WP_004684490.1	WP_004684490.1	WP_004684490.1	WP_004684490.1	6117.4909
717	5	5	WP_002966054.1	WP_002966054.1	WP_002966054.1	WP_002966054.1	WP_002966054.1	6083.386700000002
1040	5	5	WP_002968927.1	WP_002968927.1	WP_002968927.1	WP_015799957.1	WP_002968927.1	6081.3786615384615
2904	5	5	WP_011950188.1	WP_098944110.1	WP_011950188.1	WP_011950188.1	WP_098944110.1	6076.3458578947375
1923	5	5	WP_002963488.1	WP_004690553.1	WP_002963488.1	WP_002963488.1	WP_004690553.1	6048.20425909091
277	5	5	WP_002964393.1	WP_006132748.1	WP_006174368.1	WP_002964393.1	WP_002964393.1	6045.649908333333
1023	5	5	WP_002965906.1	WP_002968494.1	WP_002968494.1	WP_002968494.1	WP_002968494.1	6045.36683076923
1781	5	5	WP_002966243.1	WP_004690098.1	WP_004687429.1	WP_004687429.1	WP_004690098.1	6027.863377777778
329	5	5	WP_002964600.1	WP_002964600.1	WP_006174496.1	WP_002964600.1	WP_002964600.1	5996.200675
2294	5	5	WP_002968467.1	WP_006016198.1	WP_006016198.1	WP_006016198.1	WP_006016198.1	5996.019981818183
1840	5	5	WP_002965815.1	WP_004690319.1	WP_006175319.1	WP_006161879.1	WP_004690319.1	5968.021634782607
310	5	5	WP_002964528.1	WP_002964528.1	WP_006174463.1	WP_002964528.1	WP_002964528.1	5956.903590624999
2321	5	5	WP_002971558.1	WP_006072236.1	WP_006173794.1	WP_006072236.1	WP_006072236.1	5951.182146666667
619	5	5	WP_002965629.1	WP_002965629.1	WP_002965629.1	WP_002965629.1	WP_002965629.1	5939.039215789475
1283	5	5	WP_002964391.1	WP_004683938.1	WP_006174366.1	WP_004683938.1	WP_004683938.1	5930.4011666666665
738	5	5	WP_002966132.1	WP_002966132.1	WP_002966132.1	WP_002966132.1	WP_002966132.1	5898.697426923077
1049	5	5	WP_002969202.1	WP_002969202.1	WP_002969202.1	WP_002969202.1	WP_002969202.1	5892.3601875
515	5	5	WP_002965206.1	WP_002965206.1	WP_006173551.1	WP_015799794.1	WP_002965206.1	5889.676333333335
673	5	5	WP_002965834.1	WP_002965834.1	WP_006161888.1	WP_002965834.1	WP_002965834.1	5887.480052173912
773	5	5	WP_002966306.1	WP_002966306.1	WP_002966306.1	WP_015799824.1	WP_002966306.1	5874.053038461538
1612	5	5	WP_002966346.1	WP_004688868.1	WP_004688868.1	WP_004688868.1	WP_004688868.1	5857.422303846154
1266	5	5	WP_002964017.1	WP_004683704.1	WP_006174100.1	WP_004683704.1	WP_004683704.1	5844.420444444444
1694	5	5	WP_002963849.1	WP_004691915.1	WP_004689585.1	WP_004689585.1	WP_004689585.1	5843.210217647059
2480	5	5	WP_002963953.1	WP_002963953.1	WP_002963953.1	WP_002963953.1	WP_006190102.1	5827.426153846153
2196	5	5	WP_002963447.1	WP_004691999.1	WP_004685419.1	WP_004685419.1	WP_004691999.1	5815.825412499999
1240	5	5	WP_002963533.1	WP_004682989.1	WP_006173775.1	WP_004682989.1	WP_004682989.1	5810.042022222222
1387	5	5	WP_002965576.1	WP_004687020.1	WP_006161702.1	WP_015799973.1	WP_004687020.1	5807.2675538461535
1157	5	5	WP_002971817.1	WP_002971817.1	WP_002971817.1	WP_002971817.1	WP_002971817.1	5750.0181999999995
2868	5	5	WP_002971480.1	WP_006132467.1	WP_002971480.1	WP_002971480.1	WP_011068945.1	5743.43035
2409	5	5	WP_002963455.1	WP_006133137.1	WP_004685422.1	WP_012783858.1	WP_006189804.1	5732.74922857143
1440	5	5	WP_002967368.1	WP_004687478.1	WP_006175736.1	WP_004687478.1	WP_004687478.1	5691.589961111112
2767	5	5	WP_002965923.1	WP_004692208.1	WP_004689053.1	WP_004689053.1	WP_006192100.1	5682.27306
1298	5	5	WP_002964657.1	WP_004684080.1	WP_004684080.1	WP_015799701.1	WP_004684080.1	5671.686
665	5	5	WP_002965786.1	WP_002965786.1	WP_002965786.1	WP_002965786.1	WP_002965786.1	5670.241470588236
160	5	5	WP_002964005.1	WP_002964005.1	WP_002964005.1	WP_002964005.1	WP_002964005.1	5665.0848187500005
25	5	5	WP_002963530.1	WP_002963530.1	WP_002963530.1	WP_002963530.1	WP_002963530.1	5613.92036
1445	5	5	WP_002966413.1	WP_004687517.1	WP_004687517.1	WP_004687517.1	WP_004687517.1	5608.430184615384
589	5	5	WP_002965477.1	WP_002965477.1	WP_002965477.1	WP_002965477.1	WP_002965477.1	5569.973113043479
2648	5	5	WP_002967137.1	WP_004687628.1	WP_004687628.1	WP_004687628.1	WP_006191514.1	5547.581794444445
2194	5	5	WP_002963572.1	WP_004691973.1	WP_006173784.1	WP_002963572.1	WP_004691973.1	5541.8564000000015
2758	5	5	WP_002965966.1	WP_004692219.1	WP_006171219.1	WP_008934632.1	WP_006192041.1	5524.063005555556
2178	5	5	WP_002964101.1	WP_006132651.1	WP_006174160.1	WP_002966810.1	WP_004691866.1	5519.6348916666675
2351	5	5	WP_002969295.1	WP_004692153.1	WP_006161776.1	WP_006074094.1	WP_006074094.1	5515.900144117647
196	5	5	WP_002964115.1	WP_002964115.1	WP_006174172.1	WP_015799607.1	WP_002964115.1	5515.4545941176475
1757	5	5	WP_002966452.1	WP_004689997.1	WP_006175840.1	WP_004681334.1	WP_004689997.1	5514.794110000001
1970	5	5	WP_002963798.1	WP_006132444.1	WP_006173970.1	WP_004689575.1	WP_004690702.1	5512.56551111111
1850	5	5	WP_002965774.1	WP_004692176.1	WP_006175285.1	WP_002965774.1	WP_004690340.1	5501.814861111112
1154	5	5	WP_002971717.1	WP_002971717.1	WP_006173657.1	WP_002971717.1	WP_002971717.1	5499.149788888888
845	5	5	WP_002968809.1	WP_002966572.1	WP_002966572.1	WP_002966572.1	WP_002966572.1	5498.765648387097
1371	5	5	WP_002965575.1	WP_004685932.1	WP_004685932.1	WP_041594780.1	WP_004685932.1	5497.176978571429
1849	5	5	WP_002965780.1	WP_004690338.1	WP_006175289.1	WP_002965780.1	WP_004690338.1	5492.23816
2723	5	5	WP_002966179.1	WP_004690150.1	WP_006162087.1	WP_002966179.1	WP_006191899.1	5476.965148387097
2848	5	5	WP_002967069.1	WP_002967069.1	WP_002967069.1	WP_002967069.1	WP_006278664.1	5475.349553846154
1251	5	5	WP_002963825.1	WP_004683429.1	WP_004683429.1	WP_004683429.1	WP_004683429.1	5474.412858823529
1709	5	5	WP_002966827.1	WP_004689704.1	WP_006160955.1	WP_004689704.1	WP_004689704.1	5471.4891823529415
2361	5	5	WP_002971449.1	WP_006132655.1	WP_006174170.1	WP_015799606.1	WP_006132655.1	5468.515763636364
1020	5	5	WP_002968851.1	WP_002968479.1	WP_002968479.1	WP_002968479.1	WP_002968479.1	5457.05754117647
618	5	5	WP_002965622.1	WP_002965622.1	WP_002965622.1	WP_002965622.1	WP_002965622.1	5442.097975
2650	5	5	WP_002969255.1	WP_002971315.1	WP_006175987.1	WP_002971315.1	WP_006191518.1	5430.107033333334
187	5	5	WP_002964088.1	WP_002964088.1	WP_002964088.1	WP_002964088.1	WP_002964088.1	5424.500783333334
2521	5	5	WP_002964278.1	WP_004691753.1	WP_002964278.1	WP_002964278.1	WP_006190483.1	5423.940280952381
1028	5	5	WP_002968536.1	WP_004692184.1	WP_006175302.1	WP_002968536.1	WP_002968536.1	5413.87824
626	5	5	WP_002965660.1	WP_002965660.1	WP_002965660.1	WP_002965660.1	WP_002965660.1	5393.46865
2769	5	5	WP_002965913.1	WP_004687196.1	WP_006175378.1	WP_015799903.1	WP_006192105.1	5383.714523809524
14	5	5	WP_002963487.1	WP_002963487.1	WP_002963487.1	WP_002963487.1	WP_002963487.1	5351.362852173915
442	5	5	WP_002964983.1	WP_002964983.1	WP_002964983.1	WP_002964983.1	WP_002964983.1	5340.159966666667
147	5	5	WP_002963968.1	WP_002963968.1	WP_002963968.1	WP_002963968.1	WP_002963968.1	5337.756483333334
1453	5	5	WP_002966585.1	WP_004687607.1	WP_004687607.1	WP_004687607.1	WP_004687607.1	5329.064466666667
209	5	5	WP_002964173.1	WP_002964173.1	WP_002964173.1	WP_002964173.1	WP_002964173.1	5325.826466666666
453	5	5	WP_002965004.1	WP_002965004.1	WP_002965004.1	WP_002965004.1	WP_002965004.1	5324.245111111111
2224	5	5	WP_002965962.1	WP_004692217.1	WP_002965962.1	WP_002965962.1	WP_004692217.1	5320.7680083333335
991	5	5	WP_002965080.1	WP_002967999.1	WP_002967999.1	WP_002967999.1	WP_002967999.1	5319.401146666667
1961	5	5	WP_002963753.1	WP_004690676.1	WP_004689554.1	WP_004689554.1	WP_004690676.1	5315.9334375
1992	5	5	WP_002963937.1	WP_004690754.1	WP_002963937.1	WP_002963937.1	WP_004690754.1	5314.993037499999
1273	5	5	WP_002964186.1	WP_006132676.1	WP_004683807.1	WP_004683807.1	WP_004683807.1	5308.603645
1265	5	5	WP_002966786.1	WP_004683703.1	WP_006174098.1	WP_004683703.1	WP_004683703.1	5293.671168421053
1231	5	5	WP_002965584.1	WP_004682503.1	WP_004682503.1	WP_004682503.1	WP_004682503.1	5277.450664705882
2795	5	5	WP_002965667.1	WP_004690387.1	WP_004690387.1	WP_004690387.1	WP_006192230.1	5275.6891000000005
1985	5	5	WP_002963897.1	WP_004690734.1	WP_004683558.1	WP_004683558.1	WP_004690734.1	5260.902817391305
2041	5	5	WP_002964327.1	WP_004690910.1	WP_006160895.1	WP_002964327.1	WP_004690910.1	5246.53399047619
2024	5	5	WP_002964198.1	WP_004690856.1	WP_002967675.1	WP_002967675.1	WP_004690856.1	5240.814482352942
388	5	5	WP_002964797.1	WP_002964797.1	WP_002964797.1	WP_002964797.1	WP_002964797.1	5240.087590909091
2686	5	5	WP_002966379.1	WP_002966379.1	WP_002966379.1	WP_002966379.1	WP_006191697.1	5231.596672972973
761	5	5	WP_002966266.1	WP_002966266.1	WP_002966266.1	WP_002966266.1	WP_002966266.1	5229.72152173913
2005	5	5	WP_002964058.1	WP_004690801.1	WP_004690801.1	WP_004690801.1	WP_004690801.1	5224.6224882352935
1347	5	5	WP_002970489.1	WP_025198983.1	WP_006092494.1	WP_004685118.1	WP_004685118.1	5217.076014285714
571	5	5	WP_002965403.1	WP_004692015.1	WP_006173654.1	WP_002965403.1	WP_002965403.1	5205.145635294117
1269	5	5	WP_002964083.1	WP_004683734.1	WP_004683734.1	WP_004683734.1	WP_004683734.1	5192.1248863636365
1209	5	5	WP_002965998.1	WP_004681922.1	WP_006175460.1	WP_004681922.1	WP_004681922.1	5178.1325375
2765	5	5	WP_002965930.1	WP_004690258.1	WP_006175404.1	WP_002965930.1	WP_006192084.1	5176.889192
1191	5	5	WP_002966449.1	WP_004681340.1	WP_004681340.1	WP_041594737.1	WP_004681340.1	5172.7265
386	5	5	WP_002964791.1	WP_002964791.1	WP_002964791.1	WP_002964791.1	WP_002964791.1	5160.380933333334
1354	5	5	WP_002969764.1	WP_004685420.1	WP_004685420.1	WP_004685420.1	WP_004685420.1	5154.629963636363
2402	5	5	WP_002969865.1	WP_006132402.1	WP_006160775.1	WP_006160775.1	WP_006160775.1	5136.742766666667
69	5	5	WP_002963709.1	WP_002963709.1	WP_006173886.1	WP_002963709.1	WP_002963709.1	5132.782536842105
448	5	5	WP_002964998.1	WP_002964998.1	WP_002964998.1	WP_002964998.1	WP_002964998.1	5131.957875
2072	5	5	WP_002964590.1	WP_004691011.1	WP_002964590.1	WP_015799690.1	WP_004691011.1	5127.009541666667
1869	5	5	WP_002965640.1	WP_004690397.1	WP_002965640.1	WP_002965640.1	WP_004690397.1	5125.223195454546
357	5	5	WP_002964674.1	WP_006132833.1	WP_002964674.1	WP_002964674.1	WP_002964674.1	5123.12594117647
332	5	5	WP_002964609.1	WP_002964609.1	WP_002964609.1	WP_002964609.1	WP_002964609.1	5121.862476190477
218	5	5	WP_002964239.1	WP_002964239.1	WP_002964239.1	WP_002964239.1	WP_002964239.1	5105.5773874999995
1837	5	5	WP_002965826.1	WP_004690313.1	WP_004690313.1	WP_004690313.1	WP_004690313.1	5104.110116666667
2431	5	5	WP_002963613.1	WP_004685470.1	WP_004685470.1	WP_012783887.1	WP_006189935.1	5096.9533
2792	5	5	WP_002968831.1	WP_004692150.1	WP_004687067.1	WP_004687067.1	WP_006192220.1	5094.433639999999
1515	5	5	WP_002963665.1	WP_004688080.1	WP_004688080.1	WP_004688080.1	WP_004688080.1	5067.558399999999
2495	5	5	WP_233274443.1	WP_006134298.1	WP_006161020.1	WP_004688319.1	WP_006190175.1	5060.4839764705885
2154	5	5	WP_002965460.1	WP_004691409.1	WP_002965460.1	WP_002965460.1	WP_004691409.1	5059.804625
2446	5	5	WP_002963718.1	WP_004690662.1	WP_006173900.1	WP_012783904.1	WP_006189975.1	5052.322192307693
1535	5	5	WP_002963971.1	WP_006132487.1	WP_004688251.1	WP_004688251.1	WP_004688251.1	5050.243933333333
620	5	5	WP_002965630.1	WP_002965630.1	WP_002965630.1	WP_002965630.1	WP_002965630.1	5047.3163875
2157	5	5	WP_002965474.1	WP_006133129.1	WP_002965474.1	WP_002965474.1	WP_004691431.1	5041.6397375
2597	5	5	WP_002965114.1	WP_004691142.1	WP_004687744.1	WP_004687744.1	WP_006191022.1	5036.66156923077
390	5	5	WP_002964805.1	WP_002964805.1	WP_023598537.1	WP_015799730.1	WP_002964805.1	5013.318562500001
1760	5	5	WP_002966400.1	WP_004690014.1	WP_006175790.1	WP_004690014.1	WP_004690014.1	4997.1872444444425
1579	5	5	WP_002964546.1	WP_004688556.1	WP_006174471.1	WP_004688556.1	WP_004688556.1	4989.521852941177
629	5	5	WP_002965670.1	WP_002965670.1	WP_002965670.1	WP_002965670.1	WP_002965670.1	4988.313778260869
1929	5	5	WP_002969473.1	WP_004690579.1	WP_002969473.1	WP_002969473.1	WP_004690579.1	4975.5992400000005
1784	5	5	WP_002966234.1	WP_006253319.1	WP_002966234.1	WP_002966234.1	WP_004690104.1	4969.300492307693
2535	5	5	WP_002964414.1	WP_002964414.1	WP_002964414.1	WP_002964414.1	WP_006190531.1	4951.728800000001
2530	5	5	WP_002966855.1	WP_004691707.1	WP_002966855.1	WP_002966855.1	WP_006190505.1	4925.737085714286
1754	5	5	WP_002972196.1	WP_004689985.1	WP_004689985.1	WP_004689985.1	WP_004689985.1	4896.270028571429
43	5	5	WP_002963577.1	WP_002963577.1	WP_002963577.1	WP_002963577.1	WP_002963577.1	4893.417741666666
1193	5	5	WP_002967187.1	WP_004681414.1	WP_006273279.1	WP_004681414.1	WP_004681414.1	4884.10539032258
1022	5	5	WP_002967267.1	WP_002968489.1	WP_006175380.1	WP_002968489.1	WP_002968489.1	4880.563499999999
178	5	5	WP_002964053.1	WP_002964053.1	WP_002964053.1	WP_002964053.1	WP_002964053.1	4870.2984050000005
662	5	5	WP_002965777.1	WP_002965777.1	WP_002965777.1	WP_015799935.1	WP_002965777.1	4865.7256099999995
155	5	5	WP_002963995.1	WP_002963995.1	WP_002963995.1	WP_002963995.1	WP_002963995.1	4862.2886285714285
468	5	5	WP_002965053.1	WP_004691116.1	WP_002965053.1	WP_002965053.1	WP_002965053.1	4851.4438666666665
247	5	5	WP_002964324.1	WP_002964324.1	WP_002964324.1	WP_008935907.1	WP_002964324.1	4843.3218230769235
1228	5	5	WP_002965639.1	WP_004682426.1	WP_004682426.1	WP_015799960.1	WP_004682426.1	4834.1698230769225
1986	5	5	WP_002966764.1	WP_004690736.1	WP_004686493.1	WP_004686493.1	WP_004690736.1	4825.987821428571
504	5	5	WP_002967038.1	WP_002965171.1	WP_006160385.1	WP_002965171.1	WP_002965171.1	4817.4165
538	5	5	WP_002965297.1	WP_002965297.1	WP_006173588.1	WP_002965297.1	WP_002965297.1	4813.748693333332
443	5	5	WP_002964984.1	WP_002964984.1	WP_002964984.1	WP_002964984.1	WP_002964984.1	4809.745238095238
2434	5	5	WP_002970966.1	WP_004688073.1	WP_004688073.1	WP_004688073.1	WP_006189943.1	4805.4686599999995
2426	5	5	WP_002963573.1	WP_004690592.1	WP_006173785.1	WP_002963573.1	WP_006189903.1	4795.968875
1360	5	5	WP_002964127.1	WP_006132662.1	WP_004685635.1	WP_004685635.1	WP_004685635.1	4792.037092
814	5	5	WP_002966437.1	WP_012219723.1	WP_006175825.1	WP_002966437.1	WP_002966437.1	4790.249507692308
2696	5	5	WP_002971276.1	WP_006133680.1	WP_006175716.1	WP_002971276.1	WP_006191754.1	4787.97554
2634	5	5	WP_002967102.1	WP_004691390.1	WP_006173674.1	WP_002967102.1	WP_006191227.1	4785.922933333333
635	5	5	WP_002965683.1	WP_002965683.1	WP_002965683.1	WP_002965683.1	WP_002965683.1	4772.452163636363
2624	5	5	WP_002965389.1	WP_002965389.1	WP_006173648.1	WP_002965389.1	WP_006191191.1	4771.5034
1811	5	5	WP_002967291.1	WP_004690219.1	WP_002967291.1	WP_002967291.1	WP_004690219.1	4767.912236363637
1679	5	5	WP_002965457.1	WP_004689423.1	WP_006173682.1	WP_004689423.1	WP_004689423.1	4765.233228571428
2364	5	5	WP_002971436.1	WP_006132680.1	WP_002971436.1	WP_002971436.1	WP_006132680.1	4763.5905
2860	5	5	WP_002969290.1	WP_002969290.1	WP_002969290.1	WP_002969290.1	WP_006278988.1	4763.306181818182
57	5	5	WP_002963622.1	WP_002963622.1	WP_002963622.1	WP_002963622.1	WP_002963622.1	4739.006408333334
2427	5	5	WP_002963592.1	WP_004685462.1	WP_006173796.1	WP_006172853.1	WP_006189914.1	4727.896218181818
625	5	5	WP_002965659.1	WP_002965659.1	WP_002965659.1	WP_002965659.1	WP_002965659.1	4709.210888235294
867	5	5	WP_002966654.1	WP_002966654.1	WP_002966654.1	WP_002966654.1	WP_002966654.1	4705.957588888889
868	5	5	WP_002966656.1	WP_002966656.1	WP_002966656.1	WP_002966656.1	WP_002966656.1	4700.7492909090915
2821	5	5	WP_002964785.1	WP_004692773.1	WP_006174714.1	WP_002964785.1	WP_006192496.1	4693.485227777777
1288	5	5	WP_002964524.1	WP_004684011.1	WP_006174459.1	WP_004684011.1	WP_004684011.1	4671.68438
2629	5	5	WP_002965434.1	WP_004691376.1	WP_004684691.1	WP_004684691.1	WP_006191212.1	4651.271015384616
1394	5	5	WP_002965662.1	WP_004687059.1	WP_004687059.1	WP_004687059.1	WP_004687059.1	4646.196095238096
1567	5	5	WP_002964395.1	WP_004688478.1	WP_006174370.1	WP_004688478.1	WP_004688478.1	4627.792472727272
818	5	5	WP_002966460.1	WP_002966460.1	WP_002966460.1	WP_012783787.1	WP_002966460.1	4625.347968421053
2909	5	5	WP_129171622.1	WP_129171622.1	WP_129171622.1	WP_167315903.1	WP_129171622.1	4614.575866666667
2292	5	5	WP_002971294.1	WP_006015091.1	WP_006175841.1	WP_006015091.1	WP_006015091.1	4608.738988
1945	5	5	WP_002966706.1	WP_004690623.1	WP_006173835.1	WP_004688068.1	WP_004690623.1	4607.592055555555
2768	5	5	WP_002965921.1	WP_004692206.1	WP_002965921.1	WP_002965921.1	WP_006192103.1	4600.194870000001
2525	5	5	WP_002966852.1	WP_006132730.1	WP_006174312.1	WP_006070927.1	WP_006190491.1	4590.701142857143
2386	5	5	WP_002971940.1	WP_006133495.1	WP_186813190.1	WP_171982646.1	WP_006133495.1	4588.187050000001
1932	5	5	WP_002963562.1	WP_004690587.1	WP_002967437.1	WP_012783879.1	WP_004690587.1	4576.9537657142855
582	5	5	WP_002965436.1	WP_002965436.1	WP_002965436.1	WP_002965436.1	WP_002965436.1	4573.858970370371
782	5	5	WP_002967370.1	WP_004692490.1	WP_002966347.1	WP_002966347.1	WP_002966347.1	4572.025090909091
1072	5	5	WP_002969498.1	WP_002969498.1	WP_002969498.1	WP_002969498.1	WP_002969498.1	4569.842900000001
1543	5	5	WP_002966798.1	WP_004688304.1	WP_006161035.1	WP_004688304.1	WP_004688304.1	4557.029835294118
1656	5	5	WP_002964854.1	WP_006132894.1	WP_023598535.1	WP_004689226.1	WP_004689226.1	4546.294425
929	5	5	WP_002967313.1	WP_002967313.1	WP_002967313.1	WP_002967313.1	WP_002967313.1	4534.572778260871
2585	5	5	WP_002971902.1	WP_002971902.1	WP_245590928.1	WP_015799764.1	WP_006190960.1	4534.315914285714
1010	5	5	WP_002966435.1	WP_002968266.1	WP_002968266.1	WP_012783795.1	WP_002968266.1	4517.973485185185
822	5	5	WP_002966479.1	WP_002966479.1	WP_002966479.1	WP_002966479.1	WP_002966479.1	4512.9324
2887	5	5	WP_004692143.1	WP_004692143.1	WP_032449965.1	WP_004692143.1	WP_019443929.1	4502.950100000001
1103	5	5	WP_002970609.1	WP_006133380.1	WP_002970609.1	WP_015799915.1	WP_002970609.1	4498.246763157894
2856	5	5	WP_002967300.1	WP_006133801.1	WP_002968428.1	WP_004690205.1	WP_006278930.1	4487.814058333333
703	5	5	WP_002966000.1	WP_002966000.1	WP_002966000.1	WP_002966000.1	WP_002966000.1	4486.599570588235
1094	5	5	WP_002970216.1	WP_002970216.1	WP_002970216.1	WP_041594708.1	WP_002970216.1	4483.591523809524
2076	5	5	WP_002969590.1	WP_004691036.1	WP_006161279.1	WP_004689869.1	WP_004691036.1	4483.591523809524
1778	5	5	WP_002966265.1	WP_004690090.1	WP_004687440.1	WP_004687440.1	WP_004690090.1	4477.795575
274	5	5	WP_002964383.1	WP_002964383.1	WP_002964383.1	WP_002964383.1	WP_002964383.1	4462.822876923076
806	5	5	WP_002966418.1	WP_002966418.1	WP_006175807.1	WP_002966418.1	WP_002966418.1	4459.816596296296
1365	5	5	WP_002964336.1	WP_004685697.1	WP_004685697.1	WP_004685697.1	WP_004685697.1	4456.754716666666
175	5	5	WP_002964048.1	WP_002964048.1	WP_002964048.1	WP_002964048.1	WP_002964048.1	4451.665284210527
548	5	5	WP_002965330.1	WP_002965330.1	WP_002965330.1	WP_002965330.1	WP_002965330.1	4448.862425
180	5	5	WP_002966796.1	WP_002964057.1	WP_002964057.1	WP_002964057.1	WP_002964057.1	4443.8746
340	5	5	WP_002964628.1	WP_004691022.1	WP_002964628.1	WP_002964628.1	WP_002964628.1	4432.565100000001
1842	5	5	WP_002965801.1	WP_004690322.1	WP_002965801.1	WP_002965801.1	WP_004690322.1	4431.53889047619
1496	5	5	WP_002967115.1	WP_004687921.1	WP_004687921.1	WP_004687921.1	WP_004687921.1	4431.326985714286
2395	5	5	WP_002972950.1	WP_006133810.1	WP_006076582.1	WP_006076582.1	WP_006133810.1	4430.405136842105
2017	5	5	WP_002964153.1	WP_004690836.1	WP_002964153.1	WP_002964153.1	WP_004690836.1	4429.20245
1659	5	5	WP_002967956.1	WP_004689263.1	WP_004689263.1	WP_004689263.1	WP_004689263.1	4428.676333333334
465	5	5	WP_002965049.1	WP_002965049.1	WP_006173470.1	WP_015799766.1	WP_002965049.1	4424.490533333334
161	5	5	WP_002964012.1	WP_002964012.1	WP_002964012.1	WP_002964012.1	WP_002964012.1	4421.156191304348
546	5	5	WP_002965318.1	WP_004691255.1	WP_002965318.1	WP_002965318.1	WP_002965318.1	4412.528206666668
623	5	5	WP_002965649.1	WP_002965649.1	WP_002965649.1	WP_002965649.1	WP_002965649.1	4410.723353846154
611	5	5	WP_002965608.1	WP_002965608.1	WP_002965608.1	WP_002965608.1	WP_002965608.1	4407.128466666666
1876	5	5	WP_002965581.1	WP_004690416.1	WP_002965581.1	WP_002965581.1	WP_004690416.1	4398.981605555557
265	5	5	WP_002964363.1	WP_002964363.1	WP_002964363.1	WP_002964363.1	WP_002964363.1	4397.894523076922
135	5	5	WP_002966767.1	WP_002963925.1	WP_002963925.1	WP_015799574.1	WP_002963925.1	4394.108830769231
2763	5	5	WP_002965941.1	WP_002968475.1	WP_002968475.1	WP_002968475.1	WP_006192075.1	4390.142647058824
1575	5	5	WP_002964503.1	WP_004688535.1	WP_004688535.1	WP_004688535.1	WP_004688535.1	4386.75405
1061	5	5	WP_002969358.1	WP_002969358.1	WP_006175619.1	WP_002969358.1	WP_002969358.1	4367.853883333333
2796	5	5	WP_002965665.1	WP_004690389.1	WP_002965665.1	WP_002965665.1	WP_006192231.1	4355.322185714285
127	5	5	WP_002963896.1	WP_002963896.1	WP_006174034.1	WP_008504402.1	WP_002963896.1	4355.036279310345
1759	5	5	WP_002967184.1	WP_004690008.1	WP_006162242.1	WP_049760822.1	WP_004690008.1	4348.64162745098
1885	5	5	WP_005976335.1	WP_004690446.1	WP_006174689.1	WP_002966941.1	WP_004690446.1	4348.517444444446
835	5	5	WP_002966533.1	WP_002966533.1	WP_006175922.1	WP_002966533.1	WP_002966533.1	4343.233050000001
461	5	5	WP_002965027.1	WP_002965027.1	WP_006173453.1	WP_002965027.1	WP_002965027.1	4339.9738333333335
2174	5	5	WP_002964379.1	WP_004691704.1	WP_006174347.1	WP_002964379.1	WP_004691704.1	4339.112581818182
1943	5	5	WP_002963639.1	WP_004690621.1	WP_006160720.1	WP_004690621.1	WP_004690621.1	4336.963655000001
186	5	5	WP_002964079.1	WP_002964079.1	WP_002964079.1	WP_002964079.1	WP_002964079.1	4334.915152631579
1421	5	5	WP_002966106.1	WP_004687311.1	WP_023598599.1	WP_004687311.1	WP_004687311.1	4333.068414814815
2845	5	5	WP_002964486.1	WP_004690968.1	WP_006159980.1	WP_002967788.1	WP_006278510.1	4326.895916666666
189	5	5	WP_002964092.1	WP_002964092.1	WP_002964092.1	WP_002964092.1	WP_002964092.1	4309.884707692308
2053	5	5	WP_002966884.1	WP_004691632.1	WP_002966884.1	WP_002966884.1	WP_004690963.1	4309.12464
607	5	5	WP_002965597.1	WP_002965597.1	WP_002965597.1	WP_002965597.1	WP_002965597.1	4306.511929411765
464	5	5	WP_002965039.1	WP_002965039.1	WP_002965039.1	WP_002965039.1	WP_002965039.1	4298.564565217392
2452	5	5	WP_002963749.1	WP_004683307.1	WP_004683307.1	WP_004683307.1	WP_006189984.1	4295.432475
1599	5	5	WP_002964907.1	WP_004688737.1	WP_004688737.1	WP_004688737.1	WP_004688737.1	4293.476638095239
2820	5	5	WP_002967893.1	WP_004692771.1	WP_006174708.1	WP_015799729.1	WP_006192493.1	4292.444726086957
1843	5	5	WP_002967242.1	WP_004690323.1	WP_004689094.1	WP_041594759.1	WP_004690323.1	4285.03152
825	5	5	WP_002966489.1	WP_002966489.1	WP_002966489.1	WP_002966489.1	WP_002966489.1	4284.705147368421
